=== Text Layout for 0.5mm.pdf ===

--- Page 1 ---
Text: '扬子江新型材料（苏州）有限公司' | Bbox: [45.6, 63.71, 299.4, 80.66] | Font: »ªÎÄÐÐ¿¬ | Size: 16.92 | Color: 0
Text: '产品质量证明书' | Bbox: [301.97, 50.21, 538.85, 84.05] | Font: »ªÎÄÐÂÎº | Size: 33.84 | Color: 0
Text: 'YZJ/QP03-20' | Bbox: [486.19, 127.14, 544.02, 138.57] | Font: Times New Roman | Size: 10.32 | Color: 0
Text: 'Coating' | Bbox: [450.65, 288.85, 477.03, 298.14] | Font: Times New Roman | Size: 8.4 | Color: 0
Text: 'thickness' | Bbox: [448.25, 299.77, 479.23, 309.06] | Font: Times New Roman | Size: 8.4 | Color: 0
Text: '60°' | Bbox: [500.71, 294.25, 513.31, 303.54] | Font: Times New Roman | Size: 8.4 | Color: 0
Text: '(' | Bbox: [456.79, 313.93, 459.59, 323.22] | Font: Times New Roman | Size: 8.4 | Color: 0
Text: 'μ' | Bbox: [459.55, 313.81, 464.39, 323.17] | Font: Arial | Size: 8.4 | Color: 0
Text: ')' | Bbox: [467.95, 313.93, 470.75, 323.22] | Font: Times New Roman | Size: 8.4 | Color: 0
Text: 'glossiness' | Bbox: [489.91, 313.69, 523.31, 322.98] | Font: Times New Roman | Size: 8.4 | Color: 0
Text: '1' | Bbox: [50.4, 329.58, 55.32, 340.48] | Font: Times New Roman | Size: 9.84 | Color: 0
Text: 'Z23DN50027391102' | Bbox: [68.88, 330.15, 147.04, 339.51] | Font: Arial | Size: 8.4 | Color: 0
Text: '4.300' | Bbox: [164.06, 330.15, 185.03, 339.51] | Font: Arial | Size: 8.4 | Color: 0
Text: '913' | Bbox: [208.1, 330.15, 222.13, 339.51] | Font: Arial | Size: 8.4 | Color: 0
Text: '4' | Bbox: [253.94, 330.27, 258.14, 339.56] | Font: Times New Roman | Size: 8.4 | Color: 0
Text: '17' | Bbox: [293.45, 330.27, 301.85, 339.56] | Font: Times New Roman | Size: 8.4 | Color: 0
Text: '1' | Bbox: [337.01, 330.27, 341.21, 339.56] | Font: Times New Roman | Size: 8.4 | Color: 0
Text: '13' | Bbox: [376.49, 330.27, 384.89, 339.56] | Font: Times New Roman | Size: 8.4 | Color: 0
