=== Text Layout for density 100K(for panel).pdf ===

--- Page 1 ---
Text: '检' | Bbox: [137.31, 175.04, 179.31, 217.04] | Font: KaiTi,Bold | Size: 42.0 | Color: 0
Text: '测' | Bbox: [229.29, 175.04, 271.29, 217.04] | Font: KaiTi,Bold | Size: 42.0 | Color: 0
Text: '报' | Bbox: [321.23, 175.04, 363.23, 217.04] | Font: KaiTi,Bold | Size: 42.0 | Color: 0
Text: '告' | Bbox: [413.21, 175.04, 455.21, 217.04] | Font: KaiTi,Bold | Size: 42.0 | Color: 0
Text: '报告编号：' | Bbox: [189.49, 265.83, 269.74, 281.83] | Font: KaiTi,Bold | Size: 16.0 | Color: 0
Text: ' XJ2025B03A01822 ' | Bbox: [269.81, 265.32, 409.82, 283.03] | Font: TimesNewRomanPSMT | Size: 16.0 | Color: 0
Text: '委托单位：' | Bbox: [104.62, 362.23, 184.88, 378.23] | Font: KaiTi,Bold | Size: 16.0 | Color: 0
Text: '泰石节能材料股份有限公司' | Bbox: [251.25, 360.83, 443.25, 376.83] | Font: KaiTi | Size: 16.0 | Color: 0
Text: '样品名称：' | Bbox: [104.62, 428.43, 184.88, 444.43] | Font: KaiTi,Bold | Size: 16.0 | Color: 0
Text: '建筑幕墙用岩棉板' | Bbox: [283.25, 427.03, 411.25, 443.03] | Font: KaiTi | Size: 16.0 | Color: 0
Text: '检测类别：' | Bbox: [104.62, 494.63, 184.88, 510.63] | Font: KaiTi,Bold | Size: 16.0 | Color: 0
Text: '型式检验' | Bbox: [315.25, 493.23, 379.25, 509.23] | Font: KaiTi | Size: 16.0 | Color: 0
Text: '中国国检测试控股集团股份有限公司' | Bbox: [104.88, 616.5, 490.3, 640.5] | Font: KaiTi,Bold | Size: 24.0 | Color: 0
Text: '国家建筑材料测试中心' | Bbox: [177.17, 647.7, 418.01, 671.7] | Font: KaiTi,Bold | Size: 24.0 | Color: 0

--- Page 2 ---
Text: '注意事项' | Bbox: [239.3, 83.48, 327.56, 105.48] | Font: KaiTi,Bold | Size: 22.0 | Color: 0
Text: '1' | Bbox: [56.7, 150.41, 62.7, 163.7] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: '、本报告无' | Bbox: [62.7, 150.8, 123.59, 162.8] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '“' | Bbox: [123.65, 150.41, 129.65, 163.7] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: '检测专用章' | Bbox: [129.65, 150.8, 189.83, 162.8] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '”' | Bbox: [189.89, 150.41, 195.89, 163.7] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: '和骑缝章无效。' | Bbox: [195.89, 150.8, 280.16, 162.8] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '2' | Bbox: [56.7, 181.61, 62.7, 194.9] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: '、本报告无' | Bbox: [62.7, 182.0, 123.59, 194.0] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '“' | Bbox: [123.65, 181.61, 129.65, 194.9] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: '编制、审核、批准' | Bbox: [129.65, 182.0, 225.97, 194.0] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '”' | Bbox: [226.03, 181.61, 232.03, 194.9] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: '签字无效。' | Bbox: [232.03, 182.0, 292.21, 194.0] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '3' | Bbox: [56.7, 212.81, 62.7, 226.1] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: '、本报告涂改、部分复印无效。' | Bbox: [62.7, 213.2, 232.01, 225.2] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '4' | Bbox: [56.7, 244.01, 62.7, 257.3] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: '、对本报告若有异议，应于收到报告之日起十五日内向本机构提出，逾期恕不受理。' | Bbox: [62.7, 244.4, 509.09, 256.4] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '5' | Bbox: [56.7, 275.21, 62.7, 288.5] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: '、委托检测样品和委托信息由委托人提供，本机构不对其真实性负责，委托检测结果' | Bbox: [62.7, 275.6, 509.09, 287.6] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '仅对收样负责。' | Bbox: [75.45, 306.8, 159.73, 318.8] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '6' | Bbox: [56.7, 337.61, 62.7, 350.9] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: '、本报告采用防伪纸张，复印后应带有网格底纹，数据页背面的编号为随机编号，与' | Bbox: [62.7, 338.0, 509.11, 350.0] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '报告内容无关。' | Bbox: [75.45, 369.2, 159.73, 381.2] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '本机构联系方式：' | Bbox: [56.7, 467.85, 153.02, 479.85] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '地址：北京市朝阳区管庄东里' | Bbox: [56.7, 499.05, 213.26, 511.05] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '1' | Bbox: [216.32, 498.66, 222.32, 511.95] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: ' 号' | Bbox: [222.32, 499.05, 237.32, 511.05] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '邮编：' | Bbox: [255.37, 499.05, 291.47, 511.05] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: '100024' | Bbox: [291.52, 498.66, 327.52, 511.95] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: '网址：' | Bbox: [56.7, 530.25, 92.8, 542.25] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
Text: 'www.ctc.ac.cn' | Bbox: [92.84, 529.86, 165.82, 543.15] | Font: TimesNewRomanPS-BoldMT | Size: 12.0 | Color: 0
Text: '客户线上服务平台：' | Bbox: [56.7, 561.45, 165.07, 573.45] | Font: KaiTi,Bold | Size: 12.0 | Color: 0
